4.65884,
4.65466,
4.64397,
4.62563,
4.59927,
4.5653,
4.52477,
4.47914,
4.42998,
4.3788,
4.32678,
4.27521,
4.23013,
4.20183,
4.1918,
4.19551,
4.21114,
4.23985,
4.26636,
4.27512,
4.26404,
4.24443,
4.22866,
4.21491,
4.20799,
4.21103,
4.22274,
4.2405,
4.25688,
4.26219,
4.2539,
4.23332,
4.20309,
4.16808,
4.14045,
4.1308,
4.13791,
4.15944,
4.19141,
4.21675,
4.21959,
4.19601,
4.15326,
4.1021,
4.06334,
4.0509,
4.06504,
4.08923,
4.10118,
4.09232,
4.06247,
4.02067,
3.98906,
3.96963,
3.96003,
3.96007,
3.96168,
3.9596,
3.95758,
3.95899,
3.96795,
4.00423,
4.06922,
4.16108,
4.27672,
4.39726,
4.49451,
4.55388,
4.57353,
4.55829,
4.5212,
4.47881,
4.44456,
4.42435,
4.41952,
4.43455,
4.46481,
4.49318,
4.52337,
4.55062,
4.57318,
4.58917,
4.6041,
4.62067,
4.64885,
4.69221,
4.7343,
4.7747,
4.80056,
4.80906,
4.79934,
4.7743,
4.74568,
4.72337,
4.71179,
4.71488,
4.73081,
4.75586,
4.78103,
4.79513,
4.79424,
4.77795,
4.75447,
4.73671,
4.73198,
4.74353,
4.76777,
4.79952,
4.8305,
4.85422,
4.86661,
4.86333,
4.84505,
4.81572,
4.77982,
4.7441,
4.71616,
4.69957,
4.69498,
4.70369,
4.71967,
4.73068,
4.72705,
4.70814,
4.67547,
4.62946,
4.57326,
4.50992,
4.44264,
4.37468,
4.30901,
4.24719,
4.19227,
4.1459,
4.10754,
4.08132,
4.07213,
4.08078,
4.10014,
4.11939,
4.13388,
4.14371,
4.15006,
4.15063,
4.15018,
4.15431,
4.16745,
4.18324,
4.192,
4.1962,
4.18508,
4.15188,
4.11369,
4.08822,
4.08289,
4.09914,
4.12705,
4.14382,
4.13954,
4.11085,
4.06797,
4.02954,
4.00383,
3.99165,
3.98563,
3.97288,
3.95307,
3.9372,
3.94275,
3.96646,
3.98384,
3.97613,
3.93941,
3.89655,
3.86308,
3.84504,
3.84573,
3.86193,
3.88508,
3.90071,
3.89995,
3.91769,
3.96392,
4.03709,
4.12461,
4.21767,
4.30802,
4.37834,
4.41773,
4.42458,
4.40349,
4.36586,
4.33295,
4.32252,
4.33427,
4.36463,
4.4093,
4.45918,
4.50828,
4.55104,
4.57922,
4.59447,
4.60445,
4.61347,
4.62966,
4.6501,
4.67447,
4.6916,
4.70432,
4.7127,
4.71228,
4.7047,
4.69765,
4.69477,
4.69571,
4.70134,
4.71436,
4.73226,
4.75133,
4.77101,
4.78948,
4.81194,
4.82614,
4.82563,
4.81738,
4.80487,
4.78751,
4.77094,
4.76187,
4.76091,
4.76342,
4.76465,
4.76944,
4.77936,
4.79014,
4.79661,
4.79329,
4.78268,
4.76932,
4.75662,
4.75066,
4.74542,
4.72902,
4.7,
4.66032,
4.61017,
4.55109,
4.48622,
4.41841,
4.35207,
4.29084,
4.23855,
4.2033,
4.18213,
4.17159,
4.17181,
4.1818,
4.18852,
